item,train_samples,val_samples,train_rmse,train_mae,val_rmse,val_mae,n_features
KJNSOAHR,24,7,74848.9866047974,39160.962439413095,3759233.433460386,3131672.402917019,26
LLHREMKS,24,7,674.1245511694156,312.8294197069369,131777.97558840236,60441.39484064833,32
LPHPPJUG,24,7,3527.0524143164075,1642.1775124938383,84829.46560511747,65588.81152491758,26
LRVGFDFM,24,7,127886.73230772553,54499.05453789272,5195225.861203597,4746548.717781804,32
LSOIUSXD,24,7,3854.719686025828,1977.5489409230906,31783.02318074936,20957.815521982615,23
LTOYKIML,24,7,2469.4355894422138,1152.4820929968134,109884.49454276606,88583.9160347949,29
LUENUFGA,24,7,42935.76743604398,28425.048862001004,1906639.03920722,1834494.0127163534,23
MBSBZBXA,24,7,27045.0795906847,15820.60401615128,1168396.9880093802,809812.9707255547,23
MIRCVAMV,22,6,970.0337315136791,760.2830951934516,70669.7943440245,69687.38537187377,29
NAQIHUKZ,17,5,828.8235269046329,493.549591534877,35797.196770540075,26281.76648067064,32
NZKBIBNU,24,7,2799.026456372233,1274.0863352996341,98143.01834954532,92243.28264835457,32
OGAFEHLU,20,5,70742.53485937316,34434.270958509136,1663591.2396863915,1580659.2911862081,32
OJIFIHMZ,24,7,3123.5372991718705,2526.8678947182343,503545.90727652935,456432.3712771302,23
OKMBFVKS,24,7,1396.4263236515683,904.8062853596542,413250.4037788436,359865.5774599175,29
OXKURKXR,24,7,2536.1391660198583,1125.7249065457559,60140.452324428064,49332.13898873009,26
PYZMVUWD,19,5,463.34052166232226,324.2372280029119,7020.158036995814,5495.408889118064,26
QJQJSWFU,24,7,749.7415298091427,397.0136127246642,48053.966131728695,37169.88148146908,23
QKXNTIIB,24,7,25665.93886937155,15405.933253732472,525633.9622328674,447132.14530146925,23
QRKRBYJL,24,7,16735.877683201128,8472.389313772355,1591998.454643659,1253064.1463342335,32
QVLMOEYE,24,7,1213.1206622141106,664.0683421043601,286082.6765990154,276851.1934983124,32
RAWUKQMJ,24,7,6449.496341273291,3339.697430002503,439317.3849966557,355870.1131368281,29
RCBZUSIM,24,7,50.813372742715,23.52373644994805,3035.157291352548,2692.10201495771,32
RJGPVEXX,24,7,861.6394099744913,420.30073096657117,59401.35904624553,52436.08532111704,32
ROACSLMG,24,7,7885.076298201484,3510.2280134788502,95691.6135731663,86208.66758159215,32
SAAYMURU,24,7,131.25760194994942,69.92887515731827,20548.71171236585,12287.422973633464,26
SAHWCZNH,24,7,12520.185750070677,5156.944945415592,565956.648737035,431058.69550242444,32
SDWAYPIK,24,7,37784.85591524807,17941.427150268853,1944059.2737773466,1441213.3911741793,32
SNHYOVBM,24,7,13813.835805103714,6546.804571981639,252526.15223648393,221982.6553613372,26
STZDBITS,24,7,298382.0096367422,157366.73274490485,9391398.97844054,8668239.526559124,23
SUOYXCHP,23,6,2565.0571656953643,1584.924818556167,75243.53152969209,55870.38947766557,26
TGOELCAG,18,5,7818.23140604153,3815.951759906551,254860.72547493258,207321.49151234078,29
UGEQLMXM,24,7,823.6295306776361,454.9273500855088,49925.537892526794,30282.281353901402,32
UIFPPCLR,24,7,2892.8131304867384,1422.8929152200417,80537.79392550286,72457.4248035272,32
UQYUIVVR,24,7,8294.731203325468,5189.255892179309,1931897.561372172,1344846.0744667165,23
UXSPKBJR,24,7,1797.7457140587615,1272.729424804372,203468.07231107441,166416.98778161066,32
VBYCLTYZ,24,7,812.94844736465,381.89043216506735,185229.35468649,141207.3630125655,32
VMAQSTJE,24,7,5347.542622559751,2312.820937527729,32808.81098154084,22358.907134780467,32
VUAFAIYJ,24,7,2385.850598550831,1257.1160556840516,115225.82166670793,103817.5259738592,32
VWMBASNE,24,7,22046.48922991992,9721.687982015657,428979.3969517272,333311.7541700716,29
WBLJNPZQ,24,7,4100.764317336405,2098.728508575061,42173.453851205544,36499.9972805711,32
WHPUAOID,24,7,316.38652143260373,172.82586250744976,28174.04001171054,24455.212030986062,23
WPQXWHYO,24,7,29814.073138653202,15406.207094837815,1343200.860410963,1143594.9259515323,32
WQMVCOEM,24,7,504.3703710652125,235.44811166398708,38578.40607098651,28186.309679596096,29
XIFHSOWQ,24,7,7373.477459271501,3546.360312375755,49357.677667123695,33705.73810364212,32
XIIEJNEE,21,6,2574.4443632647044,1311.2518978807302,60278.29770811601,43625.21280340641,32
XIPPENFQ,24,7,2403.443471623481,1021.5555703876267,29070.352513174843,26858.641856972772,26
XMKRPGLB,24,7,3396.777490193508,1588.0729720943466,336857.57930683653,282638.5751858243,23
XUOIQPFL,24,7,6743.291766753845,3673.058138775736,499522.0238803181,403506.83435713797,32
YSYHGLQK,24,7,29.58087643317962,18.151640079783302,2534.3728537591874,1824.6226235474958,23
ZCELVYQU,24,7,2865.3658069342996,2028.4897835299114,480226.05491413746,320820.824290356,29
ZGJXVMNI,24,7,11227.759339919086,5227.592148535109,581372.3588498231,500882.18917559244,32
ZKENOUDA,24,7,2964.6983394856775,1402.5211823072023,101087.17318896606,89290.80491909797,32
ZXERAXWP,24,7,20.856349622397772,10.832174632266932,10831.982997608886,8025.2345721798065,32
